CustomerID,Age,Gender,MaritalStatus,Income,Region,PolicyType,PolicyStartYear,PremiumMonthly,ClaimsMade,ClaimsRejected,LastClaimAmount,RenewalStatus,CustomerSatisfaction,NumberOfInquiriesLastYear,HouseType,LifeInsuranceType,HealthInsurancePlan,CustomerFeedbackScore,DigitalPlatformUsage,PolicyUpgradesLastYear,FraudulentClaims,PolicyDurationMonths,CoverDetails,TimeToResolutionDays,ClaimReasons,CommunicationMeans,CustomerServiceFrequency,ServiceNature,PolicyDiscounts,PremiumPaymentFrequency,MissedPayments,VehicleType
17,48,F,Married,65954,Turkana,Health,2020,172,0,2,200,Not Renewed,5,2,Rental,Whole,No Health Insurance,5,High,1,0,38,Premium,23,Maturity,Text,4,Query,16,Monthly,5,Mercedes
13,53,M,Married,36374,Turkana,Property,2015,116,1,2,600,Renewed,1,2,Apartment,No Life Insurance,Basic,2,High,2,0,478,Premium,4,Floods,Email,7,Feedback,30,Quarterly,5,Toyota Harrier
43,20,M,Single,65162,Kiambu,Motor,2017,121,3,1,2900,Renewed,3,1,Rental,Term,Premium,5,High,2,1,18,Standard,21,Maturity,In-Person,8,Complaint,12,Weekly,0,Subaru Forester
194,67,M,Widowed,33854,Eldoret,Health,2019,150,2,2,1700,Renewed,4,0,Rental,No Life Insurance,Basic,1,High,1,1,352,Comprehensive,20,Maturity,Skype,2,Query,3,Monthly,5,Subaru Forester
94,42,M,Married,60606,Nairobi,Health,2021,104,2,2,2500,Renewed,2,0,Rental,Term,Premium,7,Medium,1,1,79,Basic,24,Death,Skype,4,Query,26,Weekly,5,Toyota Harrier
109,57,M,Single,64661,Turkana,Livestock,2016,131,1,2,1900,Not Renewed,3,2,Apartment,Term,Basic,2,Low,0,0,441,Standard,5,Accident,Skype,10,Feedback,12,Monthly,0,Mercedes
143,22,M,Married,58286,Eldoret,Motor,2018,167,0,0,1100,Not Renewed,4,3,Apartment,Whole,Premium,2,High,1,0,81,Standard,20,Drought,In-Person,1,Complaint,27,Monthly,5,Toyota Harrier
148,41,M,Single,58849,Kiambu,Health,2020,190,3,2,300,Renewed,5,2,No Housing Insurance,No Life Insurance,No Health Insurance,5,Medium,0,0,96,Standard,23,Drought,Text,5,Update,24,Quarterly,4,Mercedes
85,31,M,Single,72370,Busia,Property,2021,142,4,0,200,Renewed,1,2,No Housing Insurance,Whole,Basic,10,Low,1,1,368,Premium,23,Natural Disaster,Phone Call,9,Update,16,Annually,5,Mercedes
188,42,M,Single,64032,Nakuru,Health,2018,120,1,2,1100,Renewed,1,2,Bungalow,No Life Insurance,Basic,9,Medium,1,1,249,Comprehensive,25,Theft,Skype,4,Update,10,Semi-Annual,5,Nissan X-Trail
73,54,M,Single,31794,Turkana,Agricultural,2017,178,2,1,1200,Renewed,5,2,Bungalow,Whole,Basic,2,Medium,2,1,17,Comprehensive,4,Maturity,Email,4,Complaint,28,Annually,5,Mazda CX-5
20,62,F,Single,45757,Kitui,Motor,2020,137,3,1,1500,Renewed,2,1,Apartment,Term,Premium,4,High,1,1,241,Premium,25,Death,Text,7,Complaint,2,Quarterly,2,Toyota Land Cruiser V8
98,61,M,Widowed,66241,Garissa,Health,2017,185,4,2,2900,Renewed,2,1,Rental,No Life Insurance,No Health Insurance,2,Low,2,0,483,Premium,22,Maturity,Text,6,Update,16,Annually,5,Mercedes
116,21,M,Divorced,42897,Nakuru,Health,2018,190,0,2,2100,Renewed,5,3,Rental,Whole,Basic,6,Medium,1,0,344,Premium,23,Accident,Text,5,Update,24,Annually,5,Nissan X-Trail
132,63,F,Widowed,31794,Eldoret,Property,2019,135,2,0,2600,Not Renewed,3,1,Rental,Term,Premium,5,Medium,1,0,488,Premium,8,Maturity,Skype,4,Query,4,Quarterly,5,Mazda CX-5
145,22,M,Married,65371,Narok,Agricultural,2019,130,2,1,1400,Not Renewed,3,0,Apartment,No Life Insurance,Basic,5,Low,2,0,476,Comprehensive,16,Floods,Email,4,Feedback,13,Quarterly,5,Subaru Forester
138,48,M,Married,69904,Busia,Health,2021,128,0,1,2900,Renewed,3,2,Bungalow,Whole,Basic,1,Medium,0,0,231,Basic,24,Theft,In-Person,5,Query,9,Weekly,3,Subaru Forester
58,54,F,Married,43727,Turkana,Education,2018,181,2,0,500,Renewed,2,3,Apartment,No Life Insurance,Basic,3,High,0,0,386,Standard,20,Maturity,Email,0,Query,30,Quarterly,5,Nissan X-Trail
163,53,F,Married,61024,Kitui,Property,2019,191,3,2,2100,Renewed,1,1,Rental,No Life Insurance,Basic,7,Medium,1,0,362,Premium,18,Maturity,Email,4,Query,4,Weekly,5,Toyota Land Cruiser V8
138,31,M,Widowed,58806,Busia,Property,2019,104,1,1,1300,Renewed,5,0,Rental,Whole,Basic,9,Low,0,0,138,Premium,13,Theft,In-Person,0,Update,22,Semi-Annual,5,Mazda CX-5
41,31,M,Married,58513,Busia,Health,2017,159,0,0,500,Not Renewed,4,1,Bungalow,No Life Insurance,Basic,3,High,2,0,233,Premium,2,Theft,Text,5,Feedback,9,Quarterly,0,Subaru Forester
36,35,F,Married,34520,Mombasa,Education,2017,102,0,2,200,Not Renewed,1,1,Bungalow,No Life Insurance,Basic,10,High,1,0,56,Basic,10,Accident,Text,0,Update,30,Annually,5,Nissan X-Trail
179,29,M,Single,66198,Nakuru,Motor,2017,199,3,1,200,Not Renewed,1,1,Bungalow,Whole,Basic,9,Low,2,0,460,Standard,4,Accident,Phone Call,2,Feedback,16,Monthly,5,Toyota Land Cruiser V8
139,18,M,Single,38002,Busia,Education,2017,113,3,0,3000,Renewed,5,3,Bungalow,Whole,No Health Insurance,2,Medium,2,0,389,Premium,4,Accident,Phone Call,2,Feedback,16,Quarterly,5,Toyota Land Cruiser V8
192,55,M,Married,45585,Kiambu,Agricultural,2018,130,1,1,750,Renewed,5,1,Rental,Whole,Basic,10,Medium,2,0,159,Basic,6,Accident,Skype,2,Update,22,Annually,5,Subaru Forester
171,42,M,Widowed,66174,Mombasa,Agricultural,2015,192,3,2,1000,Renewed,3,2,Bungalow,Whole,Basic,2,Medium,2,0,296,Premium,21,Maturity,In-Person,10,Complaint,12,Quarterly,5,Mazda CX-5
28,44,F,Divorced,43100,Kitui,Property,2020,124,3,1,700,Renewed,1,1,Apartment,Term,Basic,3,Low,2,0,346,Premium,7,Maturity,Phone Call,1,Complaint,15,Weekly,5,Subaru Forester
114,58,M,Divorced,46880,Nairobi,Motor,2015,190,3,1,2800,Renewed,4,1,Rental,Whole,No Health Insurance,9,Low,2,1,286,Comprehensive,22,Floods,Text,2,Query,26,Weekly,5,Mercedes
53,56,F,Married,71090,Busia,Agricultural,2017,172,4,2,200,Not Renewed,2,1,Bungalow,No Life Insurance,Basic,8,High,1,1,303,Premium,2,Drought,Skype,0,Update,30,Annually,5,Nissan X-Trail
94,42,M,Divorced,35127,Kiambu,Motor,2019,148,4,0,2400,Not Renewed,2,1,Bungalow,No Life Insurance,Premium,3,Medium,0,1,412,Standard,17,Maturity,Email,9,Complaint,23,Weekly,5,Mazda CX-5
93,35,M,Married,42725,Nairobi,Health,2020,192,1,0,2000,Renewed,4,1,Rental,Term,Premium,2,Low,1,1,79,Comprehensive,20,Death,In-Person,2,Update,26,Weekly,4,Mercedes
35,57,F,Married,58817,Busia,Property,2019,146,0,2,1900,Not Renewed,2,0,Rental,Term,Premium,10,High,0,1,290,Standard,7,Drought,Phone Call,7,Update,27,Semi-Annual,5,Toyota Harrier
139,50,M,Widowed,69305,Kisumu,Agricultural,2015,125,2,1,2900,Not Renewed,1,3,Rental,Term,Basic,3,High,1,0,462,Premium,17,Drought,Email,1,Complaint,12,Weekly,5,Subaru Forester
49,50,M,Widowed,67234,Kiambu,Agricultural,2016,190,3,2,2200,Renewed,4,1,Bungalow,Whole,Premium,8,High,0,0,192,Premium,2,Maturity,Text,10,Update,13,Semi-Annual,5,Subaru Forester
55,27,M,Divorced,35886,Mombasa,Livestock,2020,109,3,0,1000,Not Renewed,5,0,Rental,No Life Insurance,Basic,4,High,2,0,444,Comprehensive,3,Accident,Phone Call,7,Query,12,Weekly,0,Toyota Harrier
193,55,M,Single,65622,Eldoret,Education,2021,130,4,0,900,Not Renewed,4,0,Rental,No Life Insurance,Premium,10,Low,1,0,344,Comprehensive,6,Maturity,Email,0,Query,21,Semi-Annual,5,Subaru Forester
8,69,F,Widowed,56198,Garissa,Livestock,2018,100,4,1,1700,Renewed,4,1,Rental,No Life Insurance,Basic,5,High,2,0,365,Premium,23,Accident,Text,5,Query,16,Annually,5,Mercedes
115,61,M,Divorced,72103,Turkana,Agricultural,2015,143,3,0,0,Renewed,1,3,Bungalow,No Life Insurance,No Health Insurance,7,Low,2,0,378,Basic,18,Maturity,Skype,5,Complaint,0,Semi-Annual,5,Mercedes
12,21,F,Divorced,42855,Kitui,Property,2019,124,3,1,800,Not Renewed,3,2,Bungalow,No Life Insurance,Basic,4,Medium,1,1,199,Premium,6,Theft,Skype,1,Query,15,Semi-Annual,5,Subaru Forester
68,27,M,Married,58172,Busia,Education,2020,116,3,2,100,Renewed,3,3,Apartment,No Life Insurance,Basic,2,Low,0,0,405,Basic,7,Maturity,Text,5,Complaint,13,Annually,5,Subaru Forester
27,61,F,Married,34234,Kisumu,Property,2020,173,0,2,800,Renewed,5,1,Rental,No Life Insurance,Premium,4,High,0,1,90,Basic,9,Accident,Skype,10,Update,4,Annually,1,Mazda CX-5
23,33,M,Widowed,41721,Kiambu,Motor,2016,106,3,1,3000,Not Renewed,4,0,Bungalow,Term,Premium,8,Medium,0,1,16,Standard,17,Accident,Text,10,Query,12,Quarterly,5,Mercedes
86,25,M,Single,74665,Kitui,Agricultural,2019,191,0,2,1600,Not Renewed,2,0,Bungalow,Term,Premium,3,Low,1,1,410,Basic,20,Floods,Phone Call,4,Query,26,Weekly,3,Mercedes
153,66,F,Single,71693,Nakuru,Health,2015,159,3,0,800,Renewed,2,0,Rental,Whole,Premium,9,Medium,0,1,458,Premium,17,Maturity,In-Person,7,Query,24,Weekly,4,Toyota Harrier
96,28,F,Divorced,63966,Busia,Health,2015,118,4,2,2900,Not Renewed,4,3,Apartment,No Life Insurance,Basic,4,Medium,1,0,275,Premium,11,Maturity,Email,1,Update,19,Semi-Annual,5,Nissan X-Trail
197,48,M,Widowed,58060,Kisumu,Livestock,2016,135,3,1,0,Renewed,4,0,Rental,No Life Insurance,Premium,3,Low,1,1,277,Premium,26,Drought,Skype,4,Query,20,Weekly,5,Subaru Forester
174,27,F,Widowed,38394,Turkana,Education,2018,130,2,2,1000,Not Renewed,3,0,No Housing Insurance,Term,Basic,10,Low,2,0,28,Premium,6,Death,Email,6,Complaint,1,Annually,5,Toyota Land Cruiser V8
86,34,M,Single,64000,Kitui,Agricultural,2021,120,1,2,200,Not Renewed,4,1,No Housing Insurance,Term,Basic,7,Low,1,0,471,Standard,5,Floods,Text,9,Complaint,7,Semi-Annual,1,Toyota Harrier
99,27,F,Divorced,70556,Kitui,Property,2020,104,3,2,1400,Renewed,3,3,Apartment,No Life Insurance,Basic,3,Low,2,0,7,Comprehensive,7,Theft,In-Person,1,Update,15,Semi-Annual,2,Subaru Forester
158,40,M,Widowed,76443,Busia,Property,2017,115,2,0,1600,Not Renewed,5,0,Apartment,Whole,Basic,4,Low,2,0,377,Basic,14,Drought,Email,2,Complaint,27,Semi-Annual,5,Mazda CX-5
146,57,M,Single,46321,Kisumu,Health,2017,187,4,2,1700,Renewed,2,2,Rental,Whole,Basic,8,Medium,1,1,222,Basic,23,Maturity,In-Person,7,Query,24,Weekly,5,Mercedes
128,36,F,Married,33159,Kisumu,Motor,2019,109,0,1,3000,Not Renewed,2,1,Bungalow,No Life Insurance,Basic,2,Medium,0,1,437,Standard,20,Theft,In-Person,9,Feedback,23,Semi-Annual,4,Toyota Harrier
136,53,F,Divorced,70163,Mombasa,Livestock,2018,105,4,1,2200,Renewed,5,1,No Housing Insurance,Term,No Health Insurance,4,High,1,0,271,Standard,15,Maturity,In-Person,0,Complaint,5,Monthly,5,Subaru Forester
190,36,F,Divorced,72375,Nairobi,Health,2021,176,2,1,300,Not Renewed,2,1,Rental,No Life Insurance,Premium,9,Low,0,1,83,Comprehensive,9,Natural Disaster,Email,2,Query,26,Annually,5,Mercedes
139,66,F,Married,71427,Nakuru,Property,2017,130,0,2,3000,Renewed,5,1,Bungalow,Whole,No Health Insurance,2,High,2,0,363,Standard,4,Maturity,Text,2,Update,16,Annually,5,Mercedes
174,57,M,Single,34201,Garissa,Motor,2019,144,3,1,2400,Renewed,3,3,Bungalow,No Life Insurance,Basic,10,High,2,1,180,Comprehensive,28,Drought,Phone Call,5,Feedback,2,Semi-Annual,0,Toyota Harrier
109,31,F,Single,74441,Turkana,Property,2018,106,0,0,2500,Not Renewed,5,2,Bungalow,No Life Insurance,No Health Insurance,4,Medium,1,0,357,Premium,2,Accident,Email,7,Feedback,30,Quarterly,5,Nissan X-Trail
136,42,M,Widowed,70971,Nairobi,Property,2021,183,4,2,1900,Not Renewed,4,0,Rental,Whole,Basic,6,Medium,2,0,242,Premium,3,Maturity,Skype,8,Complaint,12,Weekly,1,Nissan X-Trail
188,52,M,Married,36357,Mombasa,Health,2019,188,4,1,0,Renewed,2,1,Rental,No Life Insurance,Premium,2,Low,1,0,274,Comprehensive,20,Floods,Email,10,Query,26,Annually,5,Mercedes
161,37,M,Widowed,58797,Kisumu,Livestock,2020,166,4,2,1500,Renewed,2,2,Bungalow,No Life Insurance,Basic,2,Medium,1,0,266,Premium,23,Death,Text,9,Query,24,Annually,5,Toyota Land Cruiser V8
103,58,M,Single,65671,Garissa,Health,2015,181,3,1,2700,Renewed,4,0,Rental,Whole,Premium,5,Medium,2,1,350,Premium,21,Drought,In-Person,7,Update,12,Weekly,1,Nissan X-Trail
121,55,F,Single,71100,Turkana,Education,2021,128,2,2,2000,Not Renewed,4,3,No Housing Insurance,Term,Basic,10,Medium,0,0,347,Standard,3,Drought,Email,3,Complaint,1,Weekly,5,Toyota Harrier
188,18,F,Widowed,55994,Kitui,Property,2018,120,3,2,2800,Not Renewed,4,0,Rental,Term,Premium,5,Medium,1,0,364,Comprehensive,12,Theft,Email,7,Query,4,Annually,5,Mazda CX-5
127,43,F,Widowed,51968,Mombasa,Livestock,2019,109,2,1,1700,Renewed,3,2,Bungalow,Whole,Premium,6,Low,2,0,60,Comprehensive,28,Drought,Text,2,Update,20,Quarterly,3,Mercedes
129,46,M,Widowed,46320,Busia,Agricultural,2019,118,3,2,2000,Not Renewed,3,3,Apartment,No Life Insurance,Premium,7,Low,1,0,228,Basic,8,Death,Text,6,Complaint,21,Monthly,5,Nissan X-Trail
124,27,F,Divorced,61958,Kiambu,Livestock,2020,109,3,0,1000,Renewed,2,3,Bungalow,Whole,Basic,4,Medium,2,1,464,Basic,3,Accident,Phone Call,7,Query,12,Weekly,5,Mazda CX-5
152,26,M,Divorced,56533,Kisumu,Property,2017,102,4,2,2200,Renewed,5,1,No Housing Insurance,No Life Insurance,No Health Insurance,5,High,2,0,492,Basic,11,Drought,In-Person,4,Complaint,5,Semi-Annual,5,Mercedes
14,59,M,Married,69699,Kiambu,Agricultural,2018,106,4,1,2400,Renewed,1,1,Apartment,Term,Premium,8,High,0,1,297,Basic,23,Theft,Email,9,Update,23,Semi-Annual,5,Mazda CX-5
50,65,F,Divorced,48228,Busia,Education,2021,103,2,1,2000,Renewed,5,0,Rental,No Life Insurance,Premium,7,Low,2,0,266,Comprehensive,2,Drought,Email,0,Update,11,Weekly,5,Mercedes
168,48,M,Married,40564,Turkana,Livestock,2019,125,4,1,900,Not Renewed,2,3,Rental,No Life Insurance,Premium,5,Medium,1,0,24,Basic,11,Floods,Skype,2,Feedback,29,Weekly,5,Toyota Harrier
1,23,M,Married,47218,Kitui,Property,2020,190,2,0,500,Renewed,2,1,Rental,Whole,Basic,10,High,0,1,66,Basic,22,Natural Disaster,Email,9,Complaint,26,Quarterly,4,Mazda CX-5
103,64,M,Divorced,60147,Kisumu,Motor,2016,191,4,2,200,Renewed,3,2,Apartment,No Life Insurance,Basic,6,Low,2,0,50,Comprehensive,26,Accident,Phone Call,5,Query,14,Annually,5,Mazda CX-5
200,56,F,Divorced,73323,Busia,Livestock,2017,161,3,2,500,Renewed,2,0,Apartment,No Life Insurance,Premium,9,High,2,1,179,Comprehensive,22,Floods,Text,10,Update,26,Quarterly,3,Toyota Harrier
109,31,M,Single,35247,Nakuru,Livestock,2020,128,2,2,1000,Renewed,5,2,No Housing Insurance,Term,Basic,4,Low,2,0,37,Comprehensive,2,Drought,Text,3,Update,1,Annually,5,Mazda CX-5
140,28,F,Married,76738,Nakuru,Property,2020,125,4,2,2900,Not Renewed,5,2,Rental,Term,Premium,2,Medium,0,0,390,Premium,4,Floods,Phone Call,2,Update,16,Annually,5,Toyota Harrier
66,31,M,Single,49868,Nakuru,Agricultural,2019,142,1,0,2200,Not Renewed,3,2,Apartment,Whole,No Health Insurance,5,High,1,1,103,Premium,23,Accident,Skype,10,Complaint,28,Weekly,5,Mercedes
51,65,M,Married,63686,Nakuru,Property,2015,109,2,1,2600,Renewed,5,3,Rental,No Life Insurance,Basic,5,Low,2,0,296,Standard,12,Maturity,Email,0,Feedback,13,Weekly,0,Subaru Forester
49,42,F,Single,60219,Nairobi,Agricultural,2020,134,1,0,1000,Renewed,3,3,Bungalow,Whole,Basic,4,Medium,2,0,262,Standard,3,Drought,In-Person,8,Query,12,Weekly,5,Toyota Land Cruiser V8
78,42,F,Divorced,60558,Busia,Livestock,2018,186,4,2,200,Renewed,4,1,Apartment,Term,No Health Insurance,1,Low,0,1,464,Premium,3,Death,Skype,9,Update,7,Semi-Annual,5,Mazda CX-5
131,33,F,Divorced,34886,Nairobi,Livestock,2018,164,2,1,2600,Not Renewed,1,3,Apartment,No Life Insurance,Basic,6,Medium,2,0,357,Basic,16,Floods,Email,4,Update,20,Quarterly,5,Toyota Harrier
180,56,F,Married,69346,Mombasa,Livestock,2015,167,1,1,750,Renewed,5,0,Rental,Whole,Basic,10,Medium,2,0,357,Premium,5,Floods,Text,0,Update,11,Semi-Annual,5,Mercedes
56,24,F,Divorced,67294,Busia,Education,2018,130,2,0,1100,Not Renewed,5,3,Bungalow,Term,No Health Insurance,2,Low,1,1,111,Premium,13,Drought,Text,6,Update,0,Semi-Annual,5,Toyota Land Cruiser V8
17,33,M,Single,43059,Garissa,Property,2020,152,3,2,200,Not Renewed,4,1,Rental,No Life Insurance,Basic,10,Low,0,0,67,Standard,23,Accident,Text,9,Feedback,16,Monthly,5,Mercedes
187,31,M,Divorced,43905,Garissa,Agricultural,2020,172,1,2,1800,Renewed,4,1,Bungalow,Term,Premium,8,Low,2,0,214,Basic,26,Floods,Email,6,Complaint,25,Weekly,5,Toyota Harrier
52,42,F,Single,61590,Kiambu,Health,2016,115,0,1,100,Renewed,2,3,Rental,Whole,Basic,6,Medium,0,0,298,Premium,24,Floods,Text,5,Query,24,Weekly,4,Toyota Land Cruiser V8
96,33,F,Married,70776,Kisumu,Education,2021,150,1,2,2900,Not Renewed,4,0,Bungalow,No Life Insurance,Premium,9,High,2,1,278,Basic,22,Floods,Skype,1,Query,20,Semi-Annual,5,Toyota Harrier
59,55,F,Widowed,34394,Garissa,Agricultural,2017,126,0,0,500,Renewed,2,3,Apartment,No Life Insurance,Basic,3,High,1,0,436,Basic,10,Accident,In-Person,9,Feedback,30,Quarterly,5,Nissan X-Trail
198,36,F,Divorced,43055,Nairobi,Motor,2018,185,2,0,0,Renewed,2,0,Rental,No Life Insurance,Premium,1,Low,1,1,237,Comprehensive,20,Maturity,Text,10,Update,26,Weekly,5,Mercedes
191,45,F,Widowed,59464,Kisumu,Education,2020,192,2,2,2000,Renewed,4,0,Rental,Term,Premium,10,Medium,2,1,195,Basic,22,Death,Skype,8,Query,12,Quarterly,5,Nissan X-Trail
44,30,F,Divorced,35140,Busia,Education,2016,164,4,1,1300,Renewed,4,0,Bungalow,Term,Basic,1,Medium,1,0,203,Basic,13,Maturity,Text,1,Query,19,Quarterly,5,Nissan X-Trail
185,50,M,Widowed,66168,Nairobi,Property,2021,159,0,0,2900,Renewed,4,2,Rental,Whole,Basic,9,Medium,0,0,273,Premium,22,Drought,Phone Call,7,Feedback,12,Monthly,2,Toyota Harrier
183,61,M,Single,79398,Kiambu,Livestock,2016,109,1,1,1300,Renewed,3,2,Bungalow,No Life Insurance,Basic,9,Medium,1,1,14,Premium,21,Maturity,Phone Call,7,Feedback,12,Weekly,5,Mazda CX-5
177,44,M,Divorced,43897,Mombasa,Motor,2019,123,4,2,2000,Renewed,3,2,Bungalow,No Life Insurance,Premium,8,High,2,1,394,Comprehensive,18,Accident,Phone Call,8,Query,14,Annually,5,Mazda CX-5
